12:03:00 [root] [INFO] 日志系统初始化完成。文件保存至: logs/2026-02-10_12-03-00.log
12:03:02 [utills.ip_validator] [DEBUG] IP 127.0.0.3 是回环地址（本地测试用）
12:03:02 [election] [INFO] [I'm Follower - (292780094, 127.0.0.3)] Election Manager starting
12:03:02 [election] [INFO] [I'm Follower - (292780094, 127.0.0.3)] UDP listener started on UDP:9003
12:03:03 [network_manager] [DEBUG] Starting follower long-lived connection to leader at 127.0.0.1...
12:03:03 [network_manager] [DEBUG] Follower established long-lived connection to leader at 127.0.0.1
12:06:18 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721578.7380679, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:06:21 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721581.7381918, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:06:24 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721584.737042, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:06:27 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721587.738196, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:06:30 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721590.7375932, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:06:33 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721593.737138, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:06:36 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721596.736067, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:06:39 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721599.7375748, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:06:42 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721602.7373812, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:06:45 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721605.738199, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:06:48 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721608.7334259, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:06:51 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721611.738184, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:06:54 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721614.734638, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:06:57 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721617.734827, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:07:00 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721620.736279, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:07:03 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721623.738186, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:07:06 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721626.7359219, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
